Đơn vị bầu cử,Tên,Chức Vụ
1,BÀ PHẠM THỊ THÚY HẰNG ,PHÓ CHỦ TỊCH HỘI LIÊN HIỆP PHỤ NỮ XÃ 
1,ÔNG PHẠM VĂN LŨY ,"BÍ THƯ ĐẢNG ỦY XÃ, CHỦ TỊCH HĐND XÃ "
1,BÀ NGUYỄN THỊ PHƯƠNG THẢO ,GIÁO VIÊN TRƯỜNG TIỂU HỌC BÌNH HƯNG
1,ÔNG ĐOÀN VĂN THẢO ,"ỦY VIÊN BAN CHẤP HÀNH ĐẢNG BỘ XÃ, TRƯỞNG PHÒNG VĂN HÓA - XÃ HỘI XÃ"
1,ÔNG NGUYỄN NGỌC TRƯỜNG ,"ỦY VIÊN BAN CHẤP HÀNH ĐẢNG BỘ XÃ, PHÓ TRƯỞNG CÔNG AN XÃ "
2,BÀ NGUYỄN THỊ THÚY AN ,"ỦY VIÊN BAN CHẤP HÀNH ĐẢNG BỘ XÃ, PHÓ CHỦ TỊCH ỦY BAN MTTQ VIỆT NAM XÃ, BÍ THƯ ĐOÀN TNCS HỒ CHÍ MINH XÃ"
2,ÔNG TRẦN LÂM KỲ,CHỦ TỊCH CÔNG ĐOÀN CÔNG TY TNHH XÂY DỰNG VÀ DỊCH VỤ GOLDEN CHANCE
2,BÀ LÊ THÁI HỌA MI ,PHÓ BÍ THƯ THƯỜNG TRỰC ĐẢNG ỦY XÃ
2,BÀ NGUYỄN THỊ THƯƠNG ,"NI SƯ THÍCH NỮ THUẦN CHƠN TU SĨ, TRỤ TRÌ CHÙA ĐỨC NGUYÊN"
2,ÔNG MAI THÀNH TUẤN,"BÍ THƯ CHI BỘ, TRƯỞNG ẤP 7"
3,BÀ TÔ THỊ KIM ANH ,"ỦY VIÊN BAN CHẤP HÀNH ĐẢNG BỘ XÃ, PHÓ CHỦ TỊCH ỦY BAN NHÂN DÂN XÃ"
3,BÀ NGUYỄN HỒNG NGỌC ,PHÓ CHỦ NHIỆM ỦY BAN KIỂM TRA ĐẢNG ỦY XÃ 
3,BÀ PHẠM THỊ THỊNH ,CHỦ TỊCH HỘI NGƯỜI CAO TUỔI XÃ 
3,ÔNG NGUYỄN ĐỨC TRỌNG,"ỦY VIÊN BAN THƯỜNG VỤ ĐẢNG ỦY XÃ,CHỈ HUY TRƯỞNG BAN CHỈ HUY QUÂN SỰ XÃ "
3,BÀ NGUYỄN THỊ XINH ,NHÂN VIÊN VĂN PHÒNG CÔNG TY TNHH SXTM GIẤY THUẬN PHÁT 
4,BÀ NGUYỄN HUỲNH KIM HIẾU ,"PHÓ CHỦ TỊCH ỦY BAN MTTQ VIỆT NAM XÃ, CHỦ TỊCH HỘI LIÊN HIỆP PHỤ NỮ XÃ "
4,ÔNG SƠN HOÀI ,BÍ THƯ CHI BỘ ẤP 13 
